Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Natividad Elementary,Salinas City Elementary,4768,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",1465 Modoc Ave,1465 Modoc Ave,Salinas,93906,36.7032681,-121.6368269,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
Roosevelt Elementary,Salinas City Elementary,4769,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",120 Capitol St.,120 Capitol St.,Salinas,93901,36.6758473,-121.6608059,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
Sherwood Elementary,Salinas City Elementary,4770,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",110 S. Wood St.,110 S. Wood St.,Salinas,93912,36.3543,-121.1329,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
La Paz Middle School,Salinas Union High,4772,Meals will be distributed to all children ages 1-18. Parents/guardians can pick up meals without children being present.,,Las comidas se distribuirán a todos los niños de 1 a 18 años. Los padres / tutores pueden recoger las comidas sin que los niños estén presentes.,1300 North Sanborn Rd.,1300 North Sanborn Rd.,Salinas,93905,36.6905177,-121.6074557,https://www.salinasuhsd.org/Page/2124,jhull@montereycoe.org,Open,,In person,Free,School Meals,,Salinas Union High Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,3:00 PM,,,,,,,,"Lunch,Breakfast",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:42pm,Andy Chen,
Harden Middle School,Salinas Union High,4773,Meals will be distributed to all children ages 1-18. Parents/guardians can pick up meals without children being present.,,Las comidas se distribuirán a todos los niños de 1 a 18 años. Los padres / tutores pueden recoger las comidas sin que los niños estén presentes.,1561 McKinnon St,1561 McKinnon St,Salinas,93906,36.7080649,-121.6456493,https://www.salinasuhsd.org/Page/2124,jhull@montereycoe.org,Open,,In person,Free,School Meals,,Salinas Union High Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,3:00 PM,,,,,,,,"Lunch,Breakfast",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:42pm,Andy Chen,
Everett Alvarez HS,Salinas Union High,4774,Meals will be distributed to all children ages 1-18. Parents/guardians can pick up meals without children being present.,,Las comidas se distribuirán a todos los niños de 1 a 18 años. Los padres / tutores pueden recoger las comidas sin que los niños estén presentes.,1900 Independence Blvd,1900 Independence Blvd,Salinas,93906,36.712132,-121.618425,https://www.salinasuhsd.org/Page/2124,jhull@montereycoe.org,Open,,In person,Free,School Meals,,Salinas Union High Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,3:00 PM,,,,,,,,"Lunch,Breakfast",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:42pm,Andy Chen,
North Salinas HS,Salinas Union High,4775,Meals will be distributed to all children ages 1-18. Parents/guardians can pick up meals without children being present.,,Las comidas se distribuirán a todos los niños de 1 a 18 años. Los padres / tutores pueden recoger las comidas sin que los niños estén presentes.,55 Kip Dr,55 Kip Dr,Salinas,93906,36.7050131,-121.6448294,https://www.salinasuhsd.org/Page/2124,jhull@montereycoe.org,Open,,In person,Free,School Meals,,Salinas Union High Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,3:00 PM,,,,,,,,"Lunch,Breakfast",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:41pm,Andy Chen,
Salinas High School,Salinas Union High,4776,Meals will be distributed to all children ages 1-18. Parents/guardians can pick up meals without children being present.,,Las comidas se distribuirán a todos los niños de 1 a 18 años. Los padres / tutores pueden recoger las comidas sin que los niños estén presentes.,726 S Main St,726 S Main St,Salinas,93901,36.6657748,-121.6567566,https://www.salinasuhsd.org/Page/2124,jhull@montereycoe.org,Open,,In person,Free,School Meals,,Salinas Union High Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,3:00 PM,,,,,,,,"Lunch,Breakfast",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:42pm,Andy Chen,
San Ardo School,San Ardo Union Elementary,4778,,,,62428 Center Street,62428 Center Street,San Ardo,93930,36.0190598,-120.9042153,https://sausd-k12-pt.schoolloop.com/pf4/cms2/view_all_news?group_id=1500178971903,jhull@montereycoe.org,Open,,,Free,School Meals,,San Ardo School,"Monday, Tuesday, Wednesday, Thursday, Friday",9:00 AM,12:00 PM,Monday,2:00 PM - 2:30 PM,,,,,,,All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:44pm,Andy Chen,Extra hours according to here: https://www2.smcjuhsd.org/apps/pages/index.jsp?uREC_ID=273183&type=d&pREC_ID=602547
San Lucas School,San Lucas Union,4779,"We are happy to provide a free breakfast and lunch to every registered San Lucas student, regardless of their financial situation. Meals must be pre-ordered in the front office daily, no later than 8:15am. The meal distributed at 11:45am will include the day's lunch and the following morning's breakfast. ",checked,"Las comidas deben ser ordenadas por adelantado en la oficina principal todos los días, a más tardar a las 8:15 am. La comida distribuida a las 11:45 am incluirá el almuerzo del día y el desayuno de la mañana siguiente.",53675 San Benito Street,53675 San Benito Street,San Lucas,93954,36.1299859,-121.0162085,https://www.sanlucasschool.com/,,Open,Complete form in advance,Curbside Pickup,Free,School Meals,(831) 382-4426,San Lucas School,"Monday, Wednesday, Thursday",11:45 AM,12:45 PM,Monday,1:00 PM - 1:30 PM,,,,,,"Breakfast,Lunch",Registered San Lucas Student,Monterey County,10/26/2020,Chris,Matthew Choi,Vetted,11/12/2020 6:38am,Charlie Hoffs,
Bolsa Knolls Middle School,Santa Rita Union Elementary,4780,Please provide the names of the children in your home to our staff when picking up breakfast and lunch. For your safety and the safety of our staff please wear a face covering when picking up meals.,,"Por favor proporcione los nombres de los niños en su hogar al personal cuando recoja el desayuno y el almuerzo. Para su seguridad y la seguridad de nuestro personal, use una mascarilla para recoger las comidas.",1031 Rogge Rd,1031 Rogge Rd,Salinas,93901,36.6677,-121.6596,https://www.facebook.com/srusdofficial,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,8314(437) 207-1112,Santa Rita Union - 9:00 AM - 1:00 PM,"Monday, Tuesday, Wednesday, Thursday, Friday",9:00 AM,1:00 PM,Thursday,2:00 pm - 3:00 pm,,,,,,"Breakfast,Lunch",All Children,,11/8/2020,Charlie,Charlie Hoffs,Vetted,11/8/2020 7:19pm,Micah Trautwein,
New Republic Elementary,Santa Rita Union Elementary,4781,Please provide the names of the children in your home to our staff when picking up breakfast and lunch. For your safety and the safety of our staff please wear a face covering when picking up meals.,,"Por favor proporcione los nombres de los niños en su hogar al personal cuando recoja el desayuno y el almuerzo. Para su seguridad y la seguridad de nuestro personal, use una mascarilla para recoger las comidas.",636 Arcadia Way,636 Arcadia Way,Salinas,93906,36.7137202,-121.6281954,https://www.facebook.com/srusdofficial,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,8314(437) 207-1112,Santa Rita Union - 9:00 AM - 1:00 PM,"Monday, Tuesday, Wednesday, Thursday, Friday",9:00 AM,1:00 PM,Thursday,2:00 pm - 3:00 pm,,,,,,"Breakfast,Lunch",All Children,,11/8/2020,Charlie,Charlie Hoffs,Vetted,11/8/2020 7:19pm,Micah Trautwein,
Santa Rita Elementary,Santa Rita Union Elementary,4782,Please provide the names of the children in your home to our staff when picking up breakfast and lunch. For your safety and the safety of our staff please wear a face covering when picking up meals.,,"Por favor proporcione los nombres de los niños en su hogar al personal cuando recoja el desayuno y el almuerzo. Para su seguridad y la seguridad de nuestro personal, use una mascarilla para recoger las comidas.",57 Russell Road,57 Russell Road,Salinas,93906,36.733491,-121.6530885,https://www.facebook.com/srusdofficial,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,8314(437) 207-1112,Santa Rita Union - 9:00 AM - 1:00 PM,"Monday, Tuesday, Wednesday, Thursday, Friday",9:00 AM,1:00 PM,Thursday,2:00 pm - 3:00 pm,,,,,,"Breakfast,Lunch",All Children,,11/8/2020,Charlie,Charlie Hoffs,Vetted,11/8/2020 7:19pm,Micah Trautwein,
Jack Franscioni Elementary,Soledad Unified,4783,,,,779 Orchard Ln,779 Orchard Ln,Soledad,93960,36.4287622,-121.3157548,https://sanvi.soledadusd.org/,jhull@montereycoe.org,Open,,,Free,School Meals,(831) 678-6446,Soledad Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,1:30 PM,,,,,,,,"Breakfast,Lunch,Snack,Dinner,Supper",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:47pm,Andy Chen,Meals confirmed by this page: http://soledadusd.org/food-services/
San Vicente Elementary,Soledad Unified,4784,,,,1300 Metz Rd,1300 Metz Rd,Soledad,93960,36.426669,-121.316015,https://sanvi.soledadusd.org/,jhull@montereycoe.org,Open,,,Free,School Meals,(831) 678-6446,Soledad Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,1:30 PM,,,,,,,,"Breakfast,Lunch,Snack,Dinner,Supper",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:47pm,Andy Chen,Meals confirmed by this page: http://soledadusd.org/food-services/
Soledad High School,Soledad Unified,4785,,,,425 Gabilan Dr,425 Gabilan Dr,Soledad,93960,36.4359731,-121.3267113,https://sanvi.soledadusd.org/,jhull@montereycoe.org,Open,,,Free,School Meals,(831) 678-6446,Soledad Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,1:30 PM,,,,,,,,"Breakfast,Lunch,Snack,Dinner,Supper",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:47pm,Andy Chen,Meals confirmed by this page: http://soledadusd.org/food-services/
Greenfield High School,South Monterey County Joint Union High,4786,"Drive thru and Walk-Up Service
*Student does not have to be present*

Food Services will provide 5 day meal kits, free of charge for children under the age of 18. Students are entitled to one meal kit per week and may choose between Monday and Wednesday to pick up their meal. Please present your meal card to food services staff to receive the meals. 

Parents or students may pick up the meals
Meals are free for all children 18 and under
Masks are required for meal pick-up
Maintain 6 feet apart at all times
 

* If Monday lands on a holiday, meals will be distributed the following school day*

Greenfield High School Meal Pick-Up Service:
Drive thru meal pick up will take place in the front parking lot. There will be signage and staff to point you in the right direction. Walk-up service will be available in front of the school.",,"Servicio para recoger
* El estudiante no tiene que estar presente *

Food Services ofrece las comidas para 5 días, sin cargo para los niños menores de 18 años. Los estudiantes pueden recibir la comida una vez cada semana y pueden venir o el lunes o el miércoles para recogerla. Los padres / tutores pueden recoger las comidas para llevar a casa con los estudiantes. Presente su tarjeta de comidas al personal de servicios de alimentos. A continuación, encontrará más información sobre los cambios en el servicio de comidas escolares:

Las comidas son gratuitas para todos los niños menores de 18 años.
Se requieren máscaras para recoger la comida
Mantenga una distancia de 6 pies en todo momento
 

* Si el lunes es feriado, las comidas se distribuirán el siguiente día escolar *

Servicio de recogida de comidas de Greenfield High School:
se llevará a cabo en el estacionamiento delantero. Habrá letreros y personal para indicarle la dirección correcta. El servicio sin cita estará disponible frente a la escuela.",225 S El Camino Real,225 S El Camino Real,Greenfield,93927,36.3212228,-121.2437986,https://www2.smcjuhsd.org/apps/pages/index.jsp?uREC_ID=273183&type=d&pREC_ID=602547,jhull@montereycoe.org,Open,,"Drive Thru,In person",Free,School Meals,,South Monterey County Joint Union High School District,Monday,3:00 PM,5:00 PM,Wednesday,11:00 AM - 1:00 PM,,,,,,,All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:48pm,Andy Chen,
King City High School,South Monterey County Joint Union High,4787,"Drive thru and Walk-Up Service
*Student does not have to be present*

Food Services will provide 5 day meal kits, free of charge for children under the age of 18. Students are entitled to one meal kit per week and may choose between Monday and Wednesday to pick up their meal. Parents/guardians may pick up meals to take home to the students. Please present your meal card to food services staff to receive the meals. Below is more information on the changes to the school meal service:

 
Parents or students may pick up the meals
Choose only one day for meal pick-up
Monday or Wednesday
Meals are free for all children 18 and under
Masks are required for meal pick-up
Maintain 6 feet apart at all times
 

* If Monday lands on a holiday, meals will be distributed the following school day*

King City High School Meal Pick-Up:
Drive thru meal pick up will take place in the Broadway parking lot. There will be signage and staff to point you in the right direction. Walk-up service will be setup by the gates next to the district office parking lot facing Broadway Street.

(PBHS students may pick up their meals at the KCHS location)

",,"Servicio para recoger
* El estudiante no tiene que estar presente *

Food Services ofrece las comidas para 5 días, sin cargo para los niños menores de 18 años. Los estudiantes pueden recibir la comida una vez cada semana y pueden venir o el lunes o el miércoles para recogerla. Los padres / tutores pueden recoger las comidas para llevar a casa con los estudiantes. Presente su tarjeta de comidas al personal de servicios de alimentos. A continuación, encontrará más información sobre los cambios en el servicio de comidas escolares:

Las comidas son gratuitas para todos los niños menores de 18 años.
Se requieren máscaras para recoger la comida
Mantenga una distancia de 6 pies en todo momento
 

* Si el lunes es feriado, las comidas se distribuirán el siguiente día escolar *

Recogida de comidas en King City High School:
El servicio de recogida de comida se llevará a cabo en el estacionamiento de Broadway. Habrá letreros y personal para indicarle la dirección correcta. El servicio de acceso directo se instalará junto a las puertas junto al estacionamiento de la oficina del distrito frente a Broadway Street.

(Los estudiantes de PBHS pueden recoger sus comidas en la ubicación de KCHS)",720 Broadway Street,720 Broadway Street,King City,93930,36.2088202,-121.1331375,https://www2.smcjuhsd.org/apps/pages/index.jsp?uREC_ID=273183&type=d&pREC_ID=602547,jhull@montereycoe.org,Open,,"Drive Thru,In person",Free,School Meals,,South Monterey County Joint Union High School District,Monday,3:00 PM,5:00 PM,Wednesday,11:00 AM - 1:00 PM,,,,,,,All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:49pm,Andy Chen,
Learning for Life Charter,Learning for Life Charter,4789,"LFLCS offers pre-packaged breakfast to students, and students can come to campus any day to pick up breakfast. We have placed locker banks outside on the patio next to our back door . You can get to the patio via the ramp up from Imjin Rd, or by walking through the recycling area off the parking lot at the back of our building. Locker number 36 is always kept unlocked and stocked with the breakfast packages.",,"LFLCS ofrece desayuno empaquetado a los estudiantes, y los estudiantes pueden venir al campus cualquier día para recoger el desayuno. Hemos colocado casilleros afuera en el patio al lado de nuestra puerta trasera. Puede llegar al patio a través de la rampa desde Imjin Rd, o caminando por el área de reciclaje que sale del estacionamiento en la parte trasera de nuestro edificio. El casillero número 36 siempre se mantiene abierto y contiene paquetes de desayuno.",3180 Imjin Rd Vestibule,3180 Imjin Rd Vestibule,Marina,93933,36.6734836,-121.7665503,https://lflcs.org/,,Open,,Curbside Pickup,Free,School Meals,(831) 582-9820,Learning for Life Charter,"Monday, Tuesday, Wednesday, Thursday, Friday",9:00 AM,5:00 PM,,,,,,,,Breakfast,Only Students Enrolled in District,,11/1/2020,Clarissa,Clarissa Lee,Vetted,11/12/2020 6:36am,Charlie Hoffs,
